3409 3409      #   type=2000 audit(0.0:1): initialized
3409 3409  auditd type=2000 audit(0.0:1): initialized 
0 0  init Parsing file /system/etc/init/logd.rc... 
0 0  init Parsing file /system/etc/init/mdnsd.rc... 
0 0  init Parsing file /system/etc/init/mediadrmserver.rc... 
0 0  init Parsing file /system/etc/init/mediaextractor.rc... 
0 0  init Parsing file /system/etc/init/mediametrics.rc... 
0 0  init Parsing file /system/etc/init/mediaserver.rc... 
0 0  init Parsing file /system/etc/init/mtpd.rc... 
0 0  init Parsing file /system/etc/init/netd.rc... 
0 0  init Parsing file /system/etc/init/perfetto.rc... 
0 0  init Parsing file /system/etc/init/perfservice.rc... 
0 0  init Parsing file /system/etc/init/racoon.rc... 
0 0  init Parsing file /system/etc/init/sdlog.rc... 
0 0  init Parsing file /system/etc/init/servicemanager.rc... 
0 0  init Parsing file /system/etc/init/statsd.rc... 
0 0  init Parsing file /system/etc/init/storaged.rc... 
0 0  init Parsing file /system/etc/init/surfaceflinger.rc... 
0 0  init Parsing file /system/etc/init/thermalservice.rc... 
0 0  init Parsing file /system/etc/init/tombstoned.rc... 
0 0  init Parsing file /system/etc/init/uncrypt.rc... 
0 0  init Parsing file /system/etc/init/usbd.rc... 
0 0  init Parsing file /system/etc/init/vdc.rc... 
0 0  init Parsing file /system/etc/init/vold.rc... 
0 0  init Parsing file /system/etc/init/wait_for_keymaster.rc... 
0 0  init Parsing file /system/etc/init/wfdservice.rc... 
0 0  init Parsing file /system/etc/init/wifi-events.rc... 
0 0  init Parsing file /system/etc/init/wificond.rc... 
0 0  init Parsing file /product/etc/init... 
0 0  init Unable to read config file '/product/etc/init': open() failed: No such file or directory 
0 0  init Parsing file /odm/etc/init... 
0 0  init Unable to read config file '/odm/etc/init': open() failed: No such file or directory 
0 0  init Parsing directory /vendor/etc/init... 
0 0  init Parsing file /vendor/etc/init/android.hardware.audio@2.0-service.rc... 
0 0  init /vendor/etc/init/android.hardware.audio@2.0-service.rc: 12: Interface 'android.hardware.audio@4.0::IDevicesFactory/default' redefined in vendor.audio-hal-2-0 but is already defined by vendor.audio-hal-2-0 
0 0  init /vendor/etc/init/android.hardware.audio@2.0-service.rc: 13: Interface 'android.hardware.audio@2.0::IDevicesFactory/default' redefined in vendor.audio-hal-2-0 but is already defined by vendor.audio-hal-2-0 
0 0  init /vendor/etc/init/android.hardware.audio@2.0-service.rc: 1: ignored duplicate definition of service 'vendor.audio-hal-2-0' 
0 0  init Parsing file /vendor/etc/init/android.hardware.bluetooth@1.0-service-qti.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.camera.provider@2.4-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.cas@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.configstore@1.1-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.drm@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.drm@1.1-service.clearkey.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.drm@1.1-service.widevine.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.gatekeeper@1.0-service-qti.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.graphics.allocator@2.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.graphics.composer@2.1-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.health@2.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.keymaster@4.0-service-qti.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.light@2.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.media.omx@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.memtrack@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.power@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.sensors@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.thermal@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.usb@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.vibrator@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/android.hardware.wifi@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/com.qualcomm.qti.wifidisplayhal@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/hostapd.android.rc... 
0 0  init /vendor/etc/init/hostapd.android.rc: 15: Interface 'android.hardware.wifi.hostapd@1.0::IHostapd/default' redefined in hostapd but is already defined by hostapd_fst 
0 0  init Parsing file /vendor/etc/init/init.qti.fm.rc... 
0 0  init Parsing file /vendor/etc/init/qcrild.rc... 
0 0  init Parsing file /vendor/etc/init/rild.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.display.color@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.dolby.hardware.dms@1.0-service.rc... 
0 0  init /vendor/etc/init/vendor.dolby.hardware.dms@1.0-service.rc: 1: ignored duplicate definition of service 'dms-hal-1-0' 
0 0  init Parsing file /vendor/etc/init/vendor.qti.esepowermanager@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.qti.gnss@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.qti.hardware.acc_calibrate@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.qti.hardware.alarm@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.qti.hardware.factory@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.qti.hardware.perf@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.qti.hardware.qdutils_disp@1.0-service-qti.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.qti.hardware.qteeconnector@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.qti.hardware.soter@1.0-service.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.qti.hardware.tui_comm@1.0-service-qti.rc... 
0 0  init Parsing file /vendor/etc/init/vendor.rild.rc... 
0 0  init Parsing file /vendor/etc/init/vndservicemanager.rc... 
0 0  init processing action (early-init) from (/init.rc:14) 
0 0  init starting service 'ueventd'... 
0 0  init processing action (early-init) from (/vendor/etc/init/hw/init.qcom.rc:34) 
0 0  ueventd ueventd started! 
0 0  init starting service 'exec 1 (/vendor/bin/modprobe -a -d /vendor/lib/modules msm_11ad_proxy)'... 
0 0  init SVC_EXEC pid 374 (uid 0 gid 0+0 context u:r:vendor_modprobe:s0) started; waiting... 
0 0  selinux SELinux: Loaded file_contexts 
0 0  ueventd Parsing file /ueventd.rc... 
0 0  ueventd Parsing file /vendor/ueventd.rc... 
0 0  ueventd Parsing file /odm/ueventd.rc... 
0 0  ueventd Unable to read config file '/odm/ueventd.rc': open() failed: No such file or directory 
0 0  ueventd Parsing file /ueventd.qcom.rc... 
0 0  ueventd Unable to read config file '/ueventd.qcom.rc': open() failed: No such file or directory 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_charge_param: float voltage = 4400000 (0x50) 
0 0  pmi632_charger smblib_get_charge_param: fast charge current = 2000000 (0x28) 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
